,collocate,raw_frequency,MI
396,HEAVENLY,1,9.098289003885434
397,PERDITION,1,10.01457973575959
398,LIE,1,7.6632044785961115
399,FETCH,1,8.405141823325488
400,FLIES,1,9.20364951954326
401,STRIKES,1,9.454963947824167
402,IL,1,10.707726916319535
403,POCKETS,1,9.00297882408111
404,LESSONS,1,8.91596744709148
405,TREBLE,1,10.707726916319535
406,PROMPT,1,9.454963947824167
407,DOSES,1,10.01457973575959
408,SELECTED,1,9.454963947824167
409,INES,1,7.181366391703373
410,LUGGAGE,1,9.321432555199644
411,REAR,1,9.00297882408111
412,FINAL,1,8.105037230875151
413,MINES,1,8.510502338983315
414,CLOSED,1,7.09680900367531
415,USE,1,7.006424942207041
416,AH,1,6.473620411722275
417,FANCY,1,6.9010644265492145
418,INDOORS,1,9.00297882408111
419,ORDERED,1,8.628285374639699
420,BOSOMS,1,10.30226180821137
421,PRECISION,1,10.01457973575959
422,UNREAL,1,10.707726916319535
423,FRIENDLY,1,7.763287937153094
424,CHARGE,1,7.8173551584233705
425,KENTISH,1,8.835924739417944
426,CLAD,1,8.405141823325488
427,FACINGS,1,11.40087409687948
428,PRINCIPALITY,1,9.791436184445379
429,STORM,1,7.763287937153094
430,HOT,1,7.763287937153094
431,COMES,1,7.257739370487947
432,PRISONER,1,8.761816767264222
433,BEWITCHMENT,1,11.40087409687948
434,UNEXPECTED,1,7.763287937153094
435,BOS,1,11.40087409687948
436,SPARES,1,11.40087409687948
437,INDOLENCE,1,11.40087409687948
438,PACE,1,8.26537988095033
439,TOWARD,1,8.69282389577727
440,COVER,1,7.935138194079753
441,DEEDS,1,8.309831643521164
442,FATAL,1,8.567660752823263
443,REASSURED,1,10.30226180821137
444,CAGED,1,10.01457973575959
445,FEATURES,1,7.152378854830121
446,ERRATIC,1,9.098289003885434
447,RETIRED,1,8.309831643521164
448,TRUMPED,1,11.40087409687948
449,APPEARANCE,1,7.196181477488514
450,CHATTER,1,9.00297882408111
451,DEADEN,1,10.30226180821137
452,SOUND,1,6.756483197738107
453,CALCULABLE,1,10.30226180821137
454,IMAGINATION,1,7.874513572263319
455,HEADWAY,1,11.40087409687948
456,COTTAGERS,1,9.609114627651426
457,HUMAN,1,6.588689741507062
458,THEORIES,1,8.835924739417944
459,POCKET,1,7.687302030175172
460,PISTOL,1,8.356351659156058
461,CUSTOMARILY,1,11.40087409687948
462,LOADED,1,8.835924739417944
463,INTIMATE,1,8.510502338983315
464,WESTWARD,1,8.91596744709148
465,PHILOSOPHY,1,7.737312450749833
466,PERPETUAL,1,8.45643511771304
467,FLING,1,8.567660752823263
468,IDEAS,1,7.5090537987688535
469,IXIONIDES,1,9.321432555199644
470,WAYSIDE,1,9.321432555199644
471,INNATE,1,10.30226180821137
472,SINS,1,8.835924739417944
473,QUEER,1,7.874513572263319
474,NEOPHYTE,1,11.40087409687948
475,CHRISTIAN,1,7.449630378298052
476,THEREUPON,1,9.098289003885434
477,LEADEN,1,9.454963947824167
478,FINISH,1,8.567660752823263
479,MONK,1,9.609114627651426
480,FELTRE,1,7.469048464155154
481,SHIMMER,1,11.40087409687948
482,NETHER,1,9.454963947824167
483,PRECIOUS,1,8.45643511771304
484,NEEDS,1,7.9996767152173245
485,TERRIFIC,1,8.26537988095033
486,DRAGON,1,9.791436184445379
487,JAW,1,10.01457973575959
488,FLAMES,1,8.628285374639699
489,UNFORGIVING,1,10.707726916319535
490,WANED,1,10.30226180821137
491,HILLS,1,7.9996767152173245
492,AWAITED,1,9.098289003885434
493,SIGH,1,7.789956184235256
494,PROSPECT,1,7.9996767152173245
495,ENTHUSIASM,1,7.904366535413
496,MEANS,1,6.946526800625972
497,CALESFORD,1,8.309831643521164
498,ARPINGTON,1,7.257739370487947
499,TALKED,1,7.469048464155154
500,AMUSEMENT,1,7.845526035390066
501,MARK,1,7.935138194079753
502,ROME,1,8.45643511771304
503,INDEBTED,1,9.791436184445379
504,FAMOUS,1,7.6632044785961115
505,BEAUTY,1,6.357448979960234
506,WRINKLED,1,9.454963947824167
507,IGNOBLE,1,10.01457973575959
508,MORAL,1,8.405141823325488
509,CANCER,1,11.40087409687948
510,LUXURIOUS,1,8.835924739417944
511,LOLLING,1,10.707726916319535
512,LAZILY,1,10.01457973575959
513,MORN,1,10.01457973575959
514,SATISFYING,1,10.707726916319535
515,VARIOUS,1,7.737312450749833
516,INCIDENTS,1,9.321432555199644
517,DUE,1,7.8173551584233705
518,EXACTLY,1,7.639673981185918
519,TREATED,1,8.45643511771304
520,UNREAD,1,10.707726916319535
521,CONDEMNED,1,8.69282389577727
522,CONDESCEND,1,8.91596744709148
523,GIFTED,1,8.510502338983315
524,STARTED,1,7.166767592282221
525,REJECTED,1,8.567660752823263
526,MANUSCRIPT,1,8.405141823325488
527,HARDENED,1,9.609114627651426
528,CYNIC,1,9.609114627651426
529,DENY,1,8.91596744709148
530,PLEASANT,1,7.935138194079753
531,REMOTELY,1,10.30226180821137
532,MATCH,1,8.033578266893006
533,FIVE,1,6.946526800625972
534,ANON,1,9.20364951954326
535,RIPPLING,1,10.01457973575959
536,RUNS,1,8.567660752823263
537,LAUGHTER,1,7.393540911647009
538,ENCLOSE,1,11.40087409687948
539,MENTIONED,1,7.874513572263319
540,DROPPED,1,7.323336652973761
541,MERE,1,7.1104146557310886
542,OUTLINE,1,8.761816767264222
543,DISCERNED,1,9.00297882408111
544,FORM,1,6.80575424674489
545,LANDLADY,1,8.068669586704276
546,SPRINKLED,1,10.707726916319535
547,INDIVIDUAL,1,8.142777558857999
548,EVIDENCE,1,9.098289003885434
549,IMPERIAL,1,9.609114627651426
550,DIFFICULT,1,7.845526035390066
551,ABSOLUTE,1,8.26537988095033
552,IMMUNITY,1,10.30226180821137
553,IV,1,9.20364951954326
554,DRAWN,1,7.687302030175172
555,WAKE,1,8.26537988095033
556,ROLLED,1,7.874513572263319
557,RUBBER,1,11.40087409687948
558,TYRED,1,11.40087409687948
559,WAND,1,11.40087409687948
560,TITLES,1,8.835924739417944
561,FOOD,1,8.18199827201128
562,B,1,10.01457973575959
563,SUBJECT,1,6.846997205278939
564,WRITTEN,1,6.826163118376097
565,CHOOSE,1,7.241991013519808
566,EYE,1,6.846997205278939
567,PHASE,1,9.321432555199644
568,FAD,1,10.707726916319535
569,TYPES,1,10.01457973575959
570,FEMININE,1,7.711994642765544
571,SEX,1,7.257739370487947
572,THROW,1,8.356351659156058
573,ACCENT,1,9.321432555199644
574,CONDESCENSION,1,9.098289003885434
575,GALLOP,1,9.791436184445379
576,SATISFIED,1,7.904366535413
577,DANCED,1,9.00297882408111
578,AMONG,1,6.117670368141491
579,CABS,1,11.40087409687948
580,SOMEWHAT,1,7.044165270189888
581,TIPS,1,10.707726916319535
582,TOGETHER,1,6.087668117837692
583,INTERROGATIVELY,1,10.707726916319535
584,BENTHAM,1,8.222820266531535
585,SERVE,1,7.8173551584233705
586,YA,1,10.707726916319535
587,COSTS,1,9.791436184445379
588,HABITATION,1,10.01457973575959
589,UTMOST,1,8.45643511771304
590,ACTOR,1,9.321432555199644
591,LOUT,1,11.40087409687948
592,SLIGHTEST,1,8.91596744709148
593,PROMISES,1,8.91596744709148
594,LONGER,1,6.682375225584385
595,GENTLEMAN,1,6.7661451086498445
596,RACING,1,9.098289003885434
597,PRESS,1,7.5090537987688535
598,WORDED,1,9.454963947824167
599,PROMINENT,1,9.00297882408111
600,BLEEDING,1,9.20364951954326
601,MANGLED,1,10.707726916319535
