,collocate,raw_frequency,MI
257,ALWAYS,1,3.2109357530348466
258,DEVILISH,1,6.600959834098877
259,SMILE,1,3.520069752204579
260,ITS,1,2.5386029473701734
261,PARTED,1,5.084612344730789
262,LIPS,1,3.8855295256990443
263,FRENZIED,1,7.006424942207041
264,DULL,1,4.948036809725037
265,MARKS,1,6.7187428697552605
266,CORNERS,1,6.090134210332886
267,CRIMSON,1,6.025595689195315
268,ANON,1,6.600959834098877
269,SHINING,1,5.084612344730789
270,AGAINST,1,3.1492101732738904
271,MASS,1,5.662690195505946
272,FROZEN,1,6.159127081819838
273,COLD,1,4.134745317323029
274,LITTLE,1,2.136329670889785
275,RECTANGULAR,1,8.798184411435097
276,PIECE,1,4.564077906837837
277,BOARD,1,4.8663587787107705
278,SPREAD,1,5.301676849968616
279,HIM,1,0.7968293856083937
280,R,1,7.188746499000996
281,MOISTER,1,8.798184411435097
282,ATMOSPHERE,1,5.753661973711673
283,EVIDENT,1,5.662690195505946
284,HILL,1,4.809200364870822
285,TOP,1,4.90636411332447
286,MILES,1,4.827892497882974
287,DIP,1,7.188746499000996
288,AHEAD,1,5.465979901259892
289,FAINT,1,4.737741400888677
290,AROSE,1,5.753661973711673
291,RECOMMENDED,1,7.006424942207041
292,FLUSH,1,6.400289138636726
293,ROSED,1,7.699572122766987
294,HITHERTO,1,5.430888581448622
295,CHEEKS,1,5.8537454322686555
296,FELT,1,3.192382345139099
297,DRAB,1,7.006424942207041
298,PAINT,1,6.600959834098877
299,ZINC,1,8.105037230875151
300,FLAME,1,5.10930495732116
301,SENT,1,4.01069266865305
302,STEAM,1,6.159127081819838
303,PINAFORES,1,8.105037230875151
304,FROCKS,1,7.411890050315206
305,DANCING,1,5.802452137881105
306,SAME,1,3.245224826513479
307,ASSISTED,1,6.313277761647096
308,RAYS,1,5.907812653538931
309,PORK,1,7.188746499000996
310,GREASY,1,8.798184411435097
311,BLOUSE,1,8.105037230875151
312,STRAP,1,7.699572122766987
313,ARRAYED,1,7.411890050315206
314,N,1,6.159127081819838
315,BOAT,1,4.926983400527205
316,CLUB,1,5.662690195505946
317,WON,1,3.509917380740561
318,YELLOW,1,5.430888581448622
319,LADIES,1,4.4941193182309265
320,RETIRED,1,5.707141958076781
321,FRO,1,6.025595689195315
322,T,2,2.140173365564348
323,POWER,2,4.763943773282701
324,UNDER,2,3.47761643595224
325,WHOSE,2,4.239058163948411
326,LIGHTNING,2,5.9649710673788805
327,CLOUDLESS,2,7.188746499000996
328,NOW,2,2.3904796830509913
329,AGAIN,2,3.212810167829197
330,THIN,2,5.802452137881105
331,OUT,2,2.4490454200552985
332,AN,2,2.0019195084863224
333,CLEAR,2,4.876211075153782
334,AMONGST,2,5.396987029772941
335,SMALL,2,4.298374741104832
336,INTO,2,2.7148245996228586
337,LIGHT,2,3.784221327246166
338,SUNSHINE,2,6.1240357620085675
339,OPEN,2,4.373337779578287
340,THEN,2,2.7080063913910815
341,NO,2,2.044163232395001
342,LOST,2,4.608529669408671
343,ITSELF,2,4.781801390682707
344,UP,2,2.484636365158001
345,WORE,2,5.907812653538931
346,HIS,2,0.8310775577381521
347,THEM,2,2.4096230058894665
348,ST,2,5.5023475454307675
349,IF,2,2.1242545321140294
350,BUTCHER,2,7.545421442939729
351,STAR,2,5.935983530505628
352,SAID,2,1.878994754827296
353,FLEETWOOD,2,3.3280167879604003
354,MONARCH,2,7.699572122766987
355,WHAT,2,2.2154669914485092
356,NOT,2,1.2801202302020183
357,ONE,2,2.0535364703231096
358,LONG,2,3.4229060037509313
359,ENVELOPE,2,7.411890050315206
360,BLOODED,2,7.699572122766987
361,OFF,2,3.561742448605147
362,AT,2,1.3205801682375073
363,MY,2,1.399398136015148
364,STOCKING,2,8.798184411435097
365,THERE,2,2.115449443780029
366,FUN,2,5.827769945865395
367,THIS,2,2.0671663109530134
368,BY,2,1.696096662992869
369,STILL,2,3.5969287577301907
370,COUNTESSES,2,9.491331591995042
371,BLOOD,2,4.818502757533135
372,ENGLAND,2,4.586056813556612
373,BELLS,2,6.7832813908928316
374,GAZING,2,6.159127081819838
375,BEFORE,2,2.972184304054646
376,APPEARED,2,4.818502757533135
377,PAINTED,2,6.3558373760658915
378,XLII,2,8.798184411435097
379,WHICH,2,2.2471040763916914
380,FROM,2,1.9480582452895956
381,SPIRIT,2,4.969543014946002
382,LAMP,2,5.559505959270716
383,FLAG,2,6.658118247938825
384,SMOKE,3,5.926504786551084
385,THEIR,3,2.7579297001576824
386,SAW,3,3.9941633667018395
387,PALE,3,5.465979901259892
388,GREEN,3,5.375008123054165
389,HAD,3,1.6004995874606989
390,LORD,3,3.5441673037836394
391,HE,3,0.9365857445262199
392,ARE,3,2.5066152718767762
393,US,3,3.682188601681014
394,GOD,3,4.309548041702956
