,collocate,raw_frequency,MI
256,OPIUM,3,8.123729363887303
257,S,3,2.0674659128776183
258,BY,3,2.52571901222135
259,BLUE,3,5.926504786551084
260,WHEN,3,3.153144756907079
261,PIPE,3,7.430582183327358
262,HAD,3,2.024656828581016
263,HER,3,1.5702709064389313
264,YOUR,3,3.178126540061902
265,AT,3,2.150202517465989
266,THEM,3,3.239245355117948
267,FOR,3,1.914915799173448
268,FIRE,3,5.3581093109636155
269,BLACK,4,5.539731811455072
270,LIKE,4,3.644500401257059
271,HERE,4,4.1378365098927015
272,WILL,4,3.6010353997234503
273,NOT,4,2.3974246518822806
274,CIGAR,4,7.389760188807103
275,THIN,5,7.142900110875577
276,OUT,5,3.7894933930497703
277,AWAY,5,4.653835450938914
278,THERE,6,3.638218973568456
279,YOU,6,2.289568610597988
280,WITH,7,2.8230338749342994
281,THAT,7,2.5425630140411903
282,WAS,7,2.4749228124876206
283,FROM,7,3.62497845490528
284,HIS,7,2.507997767353837
285,I,7,1.9099787758792408
286,ON,8,3.1755606647767234
287,IN,10,2.4900117636793895
288,HE,10,2.564715789972473
289,TO,15,2.315720349614479
290,A,24,2.9547458627140952
291,OF,35,3.0126025312447253
292,AND,35,3.059207315931855
293,THE,46,2.774106021872701
